id	token	Настя	Денис	Лена	tag
0	Автоматизированная	B-TERM	B-TERM	B-TERM	O
1	верификация	I-TERM	I-TERM	I-TERM	O
2	алгоритмов	I-TERM	I-TERM	I-TERM	O
3	управления	I-TERM	I-TERM	I-TERM	O
4	сложными	I-TERM	I-TERM	I-TERM	O
5	технологическими	I-TERM	I-TERM	I-TERM	O
6	объектами	I-TERM	I-TERM	I-TERM	O
7	на	O	O	O	O
8	программных	B-TERM	B-TERM	B-TERM	O
9	имитаторах	I-TERM	I-TERM	I-TERM	O
10	Статья	O	O	O	O
11	посвящена	O	O	O	O
12	проблеме	B-TERM	B-TERM	B-TERM	O
13	проверки	I-TERM	I-TERM	I-TERM	O
14	алгоритмов	I-TERM	I-TERM	I-TERM	O
15	управления	I-TERM	I-TERM	I-TERM	O
16	,	O	O	O	O
17	созданных	O	O	O	O
18	в	O	O	O	O
19	рамках	O	O	O	O
20	процесс	B-TERM	B-TERM	B-TERM	O
21	-	I-TERM	I-TERM	I-TERM	O
22	ориентированного	I-TERM	I-TERM	I-TERM	O
23	подхода	I-TERM	I-TERM	I-TERM	O
24	,	O	O	O	O
25	на	O	O	O	O
26	соответствие	B-TERM	O	O	O
27	входным	I-TERM	B-TERM	B-TERM	O
28	спецификациям	I-TERM	I-TERM	I-TERM	O
29	.	O	O	O	O
30	Представлена	O	O	O	O
31	общая	B-TERM	O	O	O
32	схема	I-TERM	B-TERM	B-TERM	O
33	верификации	I-TERM	I-TERM	I-TERM	O
34	алгоритма	I-TERM	I-TERM	I-TERM	O
35	управления	I-TERM	I-TERM	I-TERM	O
36	,	O	O	O	O
37	приведены	O	O	O	O
38	ее	O	O	O	O
39	реализация	B-TERM	O	B-TERM	O
40	в	O	O	O	O
41	автоматизированном	B-TERM	O	B-TERM	O
42	варианте	I-TERM	O	I-TERM	O
43	и	O	O	O	O
44	результаты	B-TERM	B-TERM	B-TERM	O
45	практической	I-TERM	I-TERM	I-TERM	O
46	апробации	I-TERM	I-TERM	I-TERM	O
47	в	O	O	O	O
48	проекте	B-TERM	O	O	O
49	по	O	O	O	O
50	автоматизации	B-TERM	O	B-TERM	O
51	Большого	I-TERM	B-TERM	I-TERM	O
52	солнечного	I-TERM	I-TERM	I-TERM	O
53	вакуумного	I-TERM	I-TERM	I-TERM	O
54	телескопа	I-TERM	I-TERM	I-TERM	O
55	.	O	O	O	O